LONGITUDE;LATITUDE;LABEL;KML_FOLDER;KML_STYLE;descripción;valor
-78,9777007;-2,8886525;Chifa Salón Oriental;comida china;icon-1899-9C27B0-labelson;;4.4
-79,0083852;-2,9068826;CHIFA ASIA;comida china;icon-1899-0097A7-labelson;;4.3
-78,9997680;-2,8982141;Chifa China;comida china;icon-1899-3949AB-labelson;;4.2
-79,0102353;-2,9057291;China Bistro Restaurante;comida china;icon-1899-E65100-labelson;;4.3
-79,0025376;-2,8982593;Chifa Cantones;comida china;icon-1899-817717-labelson;;4.3
-79,0190460;-2,8924132;Chifa Dong Fang;comida china;icon-1899-0F9D58-labelson;;4.3
-78,9950580;-2,8949740;Chifa China;comida china;icon-1899-3949AB-labelson;;4.1
-79,0017909;-2,9063680;Chifa Nueva China;comida china;icon-1899-FFD600-labelson;;4.2
-79,0149285;-2,8979463;La Gran Muralla II;comida china;icon-1899-1A237E-labelson;;4.3
-79,0034684;-2,8999010;Chinatown;comida china;icon-1899-A52714-labelson;;4.2
-79,0025827;-2,8984367;Chifa Cantones;Indicaciones de Chifa Cantones a Chinatown;icon-ci-10-nodesc;;
-79,0034173;-2,8999102;Chinatown;Indicaciones de Chifa Cantones a Chinatown;icon-ci-11-nodesc;;
-79,0025827;-2,8984367;Chifa Cantones;Indicaciones de Chifa Cantones a Chifa China;icon-ci-10-nodesc;;
-78,9997531;-2,8981586;Chifa China;Indicaciones de Chifa Cantones a Chifa China;icon-ci-11-nodesc;;
-79,0025827;-2,8984367;Chifa Cantones;Indicaciones de Chifa Cantones a La Gran Muralla II;icon-ci-10-nodesc;;
-79,0148511;-2,8979667;La Gran Muralla II;Indicaciones de Chifa Cantones a La Gran Muralla II;icon-ci-11-nodesc;;
-79,0034173;-2,8999102;Chinatown;Indicaciones de Chinatown a China Bistro Restaurante;icon-ci-10-nodesc;;
-79,0103307;-2,9059375;China Bistro Restaurante;Indicaciones de Chinatown a China Bistro Restaurante;icon-ci-11-nodesc;;
-79,0103726;-2,9059184;China Bistro Restaurante;Indicaciones de China Bistro Restaurante a Chifa Nueva China;icon-ci-10-nodesc;;
-79,0017940;-2,9063019;Chifa Nueva China;Indicaciones de China Bistro Restaurante a Chifa Nueva China;icon-ci-11-nodesc;;
-79,0148511;-2,8979667;La Gran Muralla II;Indicaciones de La Gran Muralla II a CHIFA ASIA;icon-ci-10-nodesc;;
-79,0083644;-2,9068234;CHIFA ASIA;Indicaciones de La Gran Muralla II a CHIFA ASIA;icon-ci-11-nodesc;;
-78,9997531;-2,8981586;Chifa China;Indicaciones de Chifa China a Chifa Salón Oriental;icon-ci-10-nodesc;;
-78,9778677;-2,8888176;Chifa Salón Oriental;Indicaciones de Chifa China a Chifa Salón Oriental;icon-ci-11-nodesc;;
-79,0148511;-2,8979667;La Gran Muralla II;Indicaciones de La Gran Muralla II a Chifa Dong Fang;icon-ci-10-nodesc;;
-79,0188367;-2,8924066;Chifa Dong Fang;Indicaciones de La Gran Muralla II a Chifa Dong Fang;icon-ci-11-nodesc;;
-78,9778677;-2,8888176;Chifa Salón Oriental;Indicaciones de Chifa Salón Oriental a Chifa Nueva China;icon-ci-10-nodesc;;
-79,0017940;-2,9063019;Chifa Nueva China;Indicaciones de Chifa Salón Oriental a Chifa Nueva China;icon-ci-11-nodesc;;
-79,0113534;-2,9039340;Carbón & Leña - Hamburguesas;hamburguesas;icon-1899-0F9D58-labelson;;4.6
-78,9569828;-2,9203318;Hamburguesas-Salchipapas (La Tonga Fast Food);hamburguesas;icon-1899-F9A825-labelson;;5.0
